Julian_Day, SANSA_foF2, Measured_foF2, ICEPAC_foF2, Kp, F10, Dst
202106423,2.8907956081418416,3.65,2.776923076923077,1.3,73.9,7.0
202106500,4.0783322499362535,3.7,2.8846153846153846,4.0,74.4,15.0
202106501,3.6931284051980056,4.05,2.923076923076923,4.0,74.4,15.0
202106502,3.8574820456196584,3.7,3.1769230769230767,4.0,74.4,7.0
202106503,2.843445909735755,2.95,3.753846153846154,4.3,74.4,-4.0
202106504,3.9913533670557335,2.55,4.646153846153846,4.3,74.4,-7.0
202106505,5.095604388638711,3.25,5.7384615384615385,4.3,74.4,-8.0
202106506,6.273994164944266,4.55,6.846153846153846,3.0,74.4,-7.0
202106507,6.507684497418804,5.35,7.7615384615384615,3.0,74.4,-10.0
202106508,6.792735342525108,5.65,8.36923076923077,3.0,74.4,-9.0
202106509,6.723732639065706,6.1,8.607692307692307,2.3,74.4,-8.0
202106510,6.808477484908121,6.75,8.53076923076923,2.3,74.4,-5.0
202106511,6.556810973012467,6.55,8.207692307692307,2.3,74.4,-5.0
202106512,7.6145035446333695,6.85,7.692307692307692,3.0,74.4,-7.0
202106513,7.504078442475072,7.1,7.030769230769231,3.0,74.4,-7.0
202106514,7.470694109264423,6.9,6.23076923076923,3.0,74.4,-4.0
202106515,6.035501769800036,6.25,5.346153846153846,1.3,74.4,-5.0
202106516,5.69395436079879,6.55,4.461538461538462,1.3,74.4,-1.0
202106517,4.094074392319266,6.0,3.6846153846153844,1.3,74.4,1.0
202106518,3.8115915728445513,5.2,3.1230769230769226,2.3,74.4,-3.0
202106519,3.2697381645794152,4.65,2.830769230769231,2.3,74.4,-8.0
202106520,3.264602113316239,3.65,2.769230769230769,2.3,74.4,-10.0
202106521,3.089976370368234,3.85,2.838461538461538,2.3,74.4,-7.0
202106522,3.1875613443685893,3.7,2.9076923076923076,2.3,74.4,-3.0
202106523,2.8999424736306976,4.05,2.923076923076923,2.3,74.4,-4.0
202106600,3.3617999627481607,4.05,2.8846153846153846,1.7,76.4,-7.0
202106601,2.966241175947056,3.9,2.923076923076923,1.7,76.4,-8.0
202106602,3.1350129249821936,3.85,3.1769230769230767,1.7,76.4,-7.0
202106603,2.892403535744184,3.3,3.753846153846154,1.7,76.4,-8.0
202106604,4.071168720411475,3.15,4.646153846153846,1.7,76.4,-9.0
202106605,5.2051039092413065,3.6,5.7384615384615385,1.7,76.4,-6.0
202106606,5.6164850475144545,4.6,6.846153846153846,0.7,76.4,-3.0
202106607,5.85645737817379,5.8,7.7615384615384615,0.7,76.4,-1.0
202106608,6.149170880406607,5.55,8.36923076923077,0.7,76.4,-2.0
202106609,6.876999048120638,5.65,8.607692307692307,1.7,76.4,-4.0
202106610,6.964021981216882,4.5,8.53076923076923,1.7,76.4,-3.0
202106611,6.705590240506829,6.8,8.207692307692307,1.7,76.4,-3.0
202106612,6.993029625582295,7.3,7.692307692307692,0.7,76.4,-5.0
202106613,6.879636106699312,6.9,7.030769230769231,0.7,76.4,-4.0
202106614,6.84535434517655,6.9,6.23076923076923,0.7,76.4,-4.0
202106615,6.948045126813777,6.85,5.346153846153846,3.0,76.4,-3.0
202106616,6.597316335850131,6.75,4.461538461538462,3.0,76.4,-6.0
202106617,4.954428841336212,6.3,3.6846153846153844,3.0,76.4,-2.0
202106618,3.886574619904292,5.05,3.1230769230769226,1.3,76.4,-3.0
202106619,3.330155259804072,4.6,2.830769230769231,1.3,76.4,0.0
202106620,3.3248811426467233,4.0,2.769230769230769,1.3,76.4,-5.0
202106621,3.1455611592968893,3.9,2.838461538461538,3.7,76.4,-11.0
202106622,3.2457693852865033,3.9,2.9076923076923076,3.7,76.4,-8.0
202106623,2.950418824475012,3.85,2.923076923076923,3.7,76.4,-4.0
202106700,3.4162600547040753,3.7,2.8153846153846156,0.3,78.7,-5.0
202106701,3.0087930845306863,3.5,2.8692307692307693,0.3,78.7,-7.0
202106702,3.1826456584713316,3.75,3.1307692307692307,0.3,78.7,-7.0
202106703,2.9327325834316538,3.85,3.707692307692308,0.7,78.7,-8.0
202106704,4.146984154548352,3.85,4.6000000000000005,0.7,78.7,-8.0
202106705,5.315056135712066,4.2,5.6923076923076925,0.7,78.7,-5.0
202106706,5.73882178469239,4.8,6.792307692307692,0.3,78.7,-4.0
202106707,5.986018413264246,5.25,7.699999999999999,0.3,78.7,-3.0
202106708,6.287543971192553,5.75,8.299999999999999,0.3,78.7,-2.0
202106709,7.037283196311589,5.85,8.53076923076923,0.3,78.7,1.0
202106710,7.126925929749733,6.85,8.446153846153846,0.3,78.7,2.0
202106711,6.860714175903122,7.75,8.123076923076923,0.3,78.7,2.0
202106712,7.3512512853402265,7.5,7.615384615384615,1.0,78.7,1.0
202106713,7.234444087223855,7.05,6.961538461538462,1.0,78.7,2.0
202106714,7.1991302831421615,5.9,6.184615384615384,1.0,78.7,4.0
202106715,6.309275542935133,6.2,5.315384615384615,1.3,78.7,4.0
202106716,5.947988162714729,6.35,4.43076923076923,1.3,78.7,2.0
202106717,4.255642013261255,6.65,3.646153846153846,1.3,78.7,0.0
202106718,4.734610679578548,5.75,3.0692307692307694,3.0,78.7,-3.0
202106719,4.161440474867981,5.65,2.753846153846154,3.0,78.7,-7.0
202106720,4.156007581932337,3.75,2.6769230769230767,3.0,78.7,-7.0
202106721,3.1935114443426222,nan,2.7384615384615385,1.7,78.7,-5.0
202106722,3.2967364101198804,3.35,2.8153846153846156,1.7,78.7,-7.0
202106723,2.9924944057237504,3.4,2.830769230769231,1.7,78.7,-7.0
202106800,3.3381216618977625,3.4,2.8153846153846156,1.3,75.4,-7.0
